name,product_id,category,price_current,price_old,installment_monthly,installment_term,in_stock,promo_labels,url,image_url,page
Oukitel OT8 6GB/256GB Green,3643,Planşetlər,359,419,19.94,18 ay,True,Yalnız online sifarişlə; 18 ay ilkin ödənişsiz,https://smartelectronics.az/az/mehsullar/oukitel-ot8-6gb-256gb-green,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=b1aae3f7-806f-491e-bbef-fc7284d9ce8c.webp,6
"Apple iPad Pro 13"" M4 Wi-Fi 8/256 GB Silver",2849,Planşetlər,2749,3089,152.72,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-pro-13--m4-wi-fi-8-256-gb-silver,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=cd194f78-46e4-47e2-bec8-d24ae2e08c61.webp,6
"Apple iPad Pro 13"" M4 Wi-Fi 8/256 GB Space Black",2848,Planşetlər,2749,3089,152.72,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-pro-13--m4-wi-fi-8-256-gb-space-black,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=e105b3f3-0adb-4a6f-a10b-9c68f72f1f7e.webp,6
"Apple iPad Air 13"" M2 Wi-Fi 8/256 GB Blue",2817,Planşetlər,2019,2269,112.17,18 ay,True,Mövcud deyil,https://smartelectronics.az/az/mehsullar/apple-ipad-air-13--m2-wi-fi-8-256-gb-blue,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=4a30afae-5110-4c8e-aa14-5beac9fed80f.webp,7
"Apple iPad Air 11"" M2 Wi-Fi 8/256 GB Space Gray",2784,Planşetlər,1499,1699,83.28,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-air-11--m2-wi-fi-8-256-gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=35b61c22-ab68-4799-a977-8f606478dc9c.webp,7
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 512 ...",2767,Planşetlər,2019,2269,112.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--512-gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=5442efc7-5b45-407d-9fbc-e190fb30e71a.webp,7
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 512 ...",2766,Planşetlər,2019,2269,112.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--512-gb-purple,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=f3ea7dc5-a45e-4448-80f7-50ddac65b75a.webp,7
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 512 ...",2765,Planşetlər,2019,2269,112.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--512-gb-starlight,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=a3e4356f-cbb0-4ce8-bdb8-19d0686515e9.webp,7
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 512 ...",2764,Planşetlər,2019,2269,112.17,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--512-gb-blue,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=dc400201-438c-484c-a8a4-39587c145afa.webp,7
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 256 ...",2763,Planşetlər,1469,1649,81.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--256-gb-space-gray,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=cd26f65c-7e85-441f-9a7c-fc854e979a61.webp,7
"Apple iPad 7 mini (A17 Pro) 8.3"" Wi-Fi (2024) 256 ...",2762,Planşetlər,1469,1649,81.61,18 ay,True,18 ay ilkin ödənişsiz; 18 ay komissiyasız; 18 ay faizsiz,https://smartelectronics.az/az/mehsullar/apple-ipad-7-mini--a17-pro--8.3--wi-fi--2024--256-gb-purple,https://assets.smartelectronics.az/Assets/cdn-cgi?width=320&height=320&path=cc8293a7-0f17-4999-b3ba-17d8620ebbc2.webp,7
